o, 54, 0, 119, 128, 68, 119, 73, 19
m, 0, 0, 102, 109, 102, 34, 0, 0
m, 0, 0, 85, 91, 85, 68, 0, 0
a, 0, 0, 85, 36, 85, 85, 0, 0
n, 0, 0, 102, 128, 136, 68, 18, 19
d, 109, 0, 102, 109, 153, 85, 146, 157
i, 0, 34, 0, 0, 51, 0, 91, 0
n, 0, 0, 85, 146, 85, 68, 0, 0
g, 128, 17, 68, 128, 0, 68, 0, 118
o, 0, 0, 102, 146, 119, 119, 0, 0
m, 0, 0, 51, 36, 102, 85, 0, 0
m, 0, 0, 51, 36, 119, 102, 0, 0
a, 0, 0, 102, 109, 187, 153, 0, 0
n, 0, 0, 68, 54, 102, 68, 0, 0
d, 0, 85, 0, 73, 85, 102, 128, 98
i, 0, 51, 0, 0, 34, 0, 73, 0
n, 0, 0, 102, 73, 102, 85, 0, 0
g, 219, 0, 68, 0, 119, 119, 146, 59
o, 0, 0, 102, 146, 119, 119, 0, 0
m, 0, 0, 187, 109, 102, 51, 0, 0
m, 0, 0, 170, 109, 102, 51, 0, 0
a, 0, 0, 102, 146, 119, 153, 0, 0
n, 0, 0, 119, 73, 68, 85, 0, 0
d, 73, 85, 68, 73, 102, 119, 182, 118
i, 36, 17, 0, 36, 0, 68, 0, 78
n, 0, 0, 68, 128, 136, 85, 0, 0
g, 91, 153, 34, 109, 0, 68, 128, 137
o, 91, 68, 102, 91, 68, 102, 73, 59
m, 0, 0, 102, 109, 68, 51, 0, 0
m, 0, 0, 153, 73, 85, 51, 0, 0
a, 0, 0, 119, 0, 136, 85, 0, 0
n, 0, 0, 119, 109, 68, 68, 0, 0
d, 0, 0, 85, 73, 204, 102, 18, 0
i, 0, 51, 34, 0, 85, 0, 36, 78
n, 0, 0, 119, 128, 68, 68, 0, 0
g, 219, 17, 0, 91, 0, 85, 54, 137
o, 54, 17, 102, 128, 85, 68, 54, 78
m, 0, 0, 102, 128, 153, 102, 0, 0
m, 0, 0, 136, 128, 187, 68, 0, 0
a, 0, 0, 119, 164, 136, 119, 36, 19
n, 128, 34, 136, 109, 136, 85, 91, 0
d, 0, 85, 85, 146, 68, 68, 128, 0
i, 73, 0, 85, 0, 85, 0, 54, 118
n, 36, 17, 170, 109, 102, 85, 18, 0
g, 73, 102, 68, 164, 0, 68, 91, 118
o, 73, 68, 102, 91, 68, 102, 91, 59
m, 36, 0, 221, 182, 119, 102, 18, 0
m, 0, 0, 187, 146, 153, 51, 0, 0
a, 0, 0, 119, 164, 119, 153, 0, 0
n, 18, 34, 170, 91, 136, 68, 36, 19
d, 0, 68, 0, 91, 51, 85, 146, 216
i, 73, 68, 34, 36, 68, 0, 73, 19
n, 36, 51, 170, 91, 102, 68, 18, 19
g, 0, 170, 0, 201, 0, 85, 91, 78
o, 146, 51, 68, 109, 85, 68, 109, 137
m, 0, 0, 204, 164, 85, 153, 0, 0
m, 73, 85, 204, 164, 102, 136, 36, 0
a, 73, 85, 34, 146, 85, 85, 128, 137
n, 91, 51, 153, 73, 136, 68, 54, 59
d, 0, 85, 0, 73, 85, 119, 109, 98
i, 18, 0, 34, 0, 85, 0, 54, 78
n, 54, 51, 153, 73, 136, 85, 54, 19
g, 109, 119, 85, 128, 0, 85, 36, 118
o, 109, 51, 85, 73, 68, 102, 91, 59
m, 0, 0, 136, 54, 136, 153, 0, 0
m, 0, 0, 119, 73, 119, 136, 0, 0
a, 18, 51, 119, 182, 153, 119, 0, 19
n, 0, 0, 51, 128, 136, 85, 0, 0
d, 0, 68, 0, 73, 85, 119, 109, 137
i, 36, 17, 68, 0, 68, 0, 36, 39
n, 0, 0, 68, 109, 170, 102, 0, 0
g, 128, 153, 102, 164, 34, 68, 18, 196
o, 18, 102, 136, 73, 68, 102, 91, 59
m, 0, 0, 187, 146, 119, 85, 0, 0
m, 0, 0, 153, 182, 119, 102, 0, 0
a, 0, 17, 51, 182, 153, 153, 54, 19
n, 0, 51, 187, 128, 51, 68, 0, 19
d, 0, 34, 0, 91, 102, 136, 91, 118
i, 0, 34, 17, 128, 119, 0, 54, 0
n, 0, 0, 170, 164, 51, 85, 0, 0
g, 54, 136, 51, 73, 0, 68, 73, 137
o, 54, 85, 85, 73, 68, 85, 91, 78
m, 0, 0, 136, 182, 85, 68, 0, 0
m, 0, 0, 170, 146, 68, 85, 0, 0
a, 54, 34, 187, 54, 153, 85, 54, 78
n, 54, 51, 170, 91, 119, 68, 18, 39
d, 0, 68, 0, 73, 34, 85, 109, 98
i, 36, 0, 68, 0, 68, 0, 18, 78
n, 0, 51, 119, 128, 119, 68, 0, 19
g, 0, 170, 0, 146, 0, 68, 73, 137
o, 0, 34, 102, 91, 68, 119, 54, 19
m, 0, 0, 136, 164, 68, 119, 0, 0
m, 36, 0, 187, 146, 102, 85, 18, 19
a, 18, 85, 119, 109, 85, 136, 109, 39
n, 0, 68, 136, 146, 170, 68, 73, 39
